ID_OREGANO:18333	PHARMGKB	MESH	 SNOMEDCT	 UMLS	 NDFRT	 MEDDRA	SNOMEDCT	NDFRT	 MESH	MEDDRA	UMLS	ORPHANET	ICD-11	ICD-10	OMIM	GARD
DISEASE:202	PA443374	D000844	111227009;202297005;202323002;36504009	C0003090	N0000000417	10002559										
DISEASE:203	PA165108268	D020254	14901003	C0155930	N0000004077	10002574				10044019	C0155930	1077	DA07.61	K03.5		701
DISEASE:204	PA443375	D000848	16958000;196269004;26624006	C0399352	N0000000418	10002583				10002583	C0399352	99797	LA30.0	K00.0		5818
DISEASE:205	PA443377	D000853	204098007;204099004;204103009;7183006	C0003119	N0000000420	10002639										
DISEASE:206	PA443378	D000855	206915006	C0003123	N0000000421	10052625										
DISEASE:207	PA447195	D000856	56882008	C0003125	N0000000422	10002649										
DISEASE:208	PA443380	D000858	34571000	C0003128	N0000000424	10002658										
DISEASE:209	PA443382	D000860		C0003130	N0000000426	10002660										
DISEASE:210	PA165108570	D011052	398327006	C0032372	N0000002450	10000675										
DISEASE:211	PA165108416	D020759	2972007	C0221069	N0000004175	10002703										
DISEASE:212	PA165108727	D000874	33548005	C0003164	N0000000428	10050363										
DISEASE:213	PA443385	D000881	186304006;409498004	C0003175	N0000000429	10002713										
DISEASE:214	PA446891	D020132		C0600498	N0000003995											
DISEASE:215	PA444317	D019867	236506009;50581000	C0403529	N0000003962	10018620										
DISEASE:216	PA446375	D016736	26843008	C0085278	N0000003466	10002817										
DISEASE:217	PA165108865	D000987	26665006	C0003431	N0000000430	10002821										
DISEASE:218	PA166048729							N0000000431								
DISEASE:219	PA443389	D001006	204712000;204731006;204733009	C0003466	N0000000434	10002120										
DISEASE:220	PA443388	D001005	126849006	C0003463	N0000000433	10061629										
DISEASE:221	PA447196	D001008	197480006	C0003469	N0000000435	10057666										
DISEASE:222	PA443390	D001014	195269009;67362008	C0003486	N0000000437	10002330										
DISEASE:223	PA446509	D017544	233985008	C0162871	N0000003600	10000051										
DISEASE:224	PA446510	D017545	433068007;74883004	C0162872	N0000003601	10043465										
DISEASE:225	PA166048874							N0000000438								
DISEASE:226	PA443392	D001017;C531623	204419005;7305005	C0003492	N0000000439	10002894				10009807	C2930803	1457	LA8B.21	Q25.1		5828
DISEASE:227	PA443393	D001018	47040006	C0003493	N0000000440	10058648										
DISEASE:228	PA443394	D001019		C0003496	N0000000441	10060874										
DISEASE:229	PA447144	D021921	268185002	C0003499	N0000004247	10042598				10042598	C0003499;C2936909	3193	LA8A.3	Q25.3	185500	743
DISEASE:230	PA443396	D001022	60234000	C0003504	N0000000443	10002898										
DISEASE:231	PA443398	D001024	60573004	C0003507	N0000000445	10002906										
DISEASE:232	PA165960681					10002942					C0085632					
DISEASE:233	PA443401	D001035	24010005	C0003534	N0000000448	10002945										
DISEASE:234	PA443403	D001037	206967005;87486003	C0003537	N0000000450	10002948										
DISEASE:235	PA165108931	D005862	36785009	C0017494	N0000001328	10048608										
DISEASE:236	PA443407	D001049	1023001;207053005	C0003578	N0000000454	10002972										
DISEASE:237	PA166248161						276544005									
DISEASE:238	PA443408	D001063	126846004	C0003614	N0000000455	10056288										
DISEASE:239	PA165108991	D001064	307530000	C0003615	N0000000456	10003011										
DISEASE:240	PA165108990	D001064	196785005	C0003615	N0000000456	10003011										
DISEASE:241	PA443410	D001072	206991001;68345001;6950007	C0003635	N0000000458	10003062										
DISEASE:242	PA165108630	D015266	254729005	C0007129	N0000003213	10064025										
DISEASE:243	PA443415	D001112	111522004;231924000	C0003742	N0000000463	10003082										
DISEASE:244	PA165108869	D020162	23501004	C0268548	N0000004013	10062695				10062695	C0268548	90	5C50.A2	E72.2	207800	5840
DISEASE:245	PA443419	D001139	253184003	C0003803	N0000000467	10003101										
DISEASE:246	PA443421	D001145	195107004	C0003811	N0000000469	10003119										
DISEASE:247	PA443422	D001146		C0003813	N0000000470											
DISEASE:248	PA446847	D019571	253528005;281170005	C0349788	N0000003938	10058093				10058093	C0349788	247	BC43.6			5847
DISEASE:249	PA446977	D020261	418685002;81844008	C0311375	N0000004082	10067491										
DISEASE:250	PA443423	D001157		C0003838	N0000000471											
DISEASE:251	PA165108680	D002573	413577001	C0007856	N0000000731	10008301										
DISEASE:252	PA443425	D001161	107671003;195257001;28960008;72092001	C0003850	N0000000473	10003210										
DISEASE:253	PA165108505	D001162	361133006	C0003851	N0000000474	10065418										
DISEASE:254	PA443427	D001164	128617001;439470001	C0003855	N0000000475	10003187				10003226	C0003855	98731				
DISEASE:255	PA443428	D001165	234141001;24551003	C0003857	N0000000476	10000035				10003193	C0003857	211266				
DISEASE:256	PA443429	D001167	266265002;52089001	C0003860	N0000000477	10003231										
DISEASE:257	PA446761	D018771	202499005;57676002	C0003862	N0000003851	10000449										
DISEASE:258	PA443430	D001168	3723001	C0003864	N0000000478	10003246										
DISEASE:259	PA443431	D001169		C0993582	N0000011135											
DISEASE:260	PA446114	D015210	170733007;190828008;201662001;201672003;48440001	C0003868	N0000003204	10003257										
DISEASE:261	PA443432	D001170	201591007;201592000;396234004	C0003869	N0000000480	10060968										
