ID_OREGANO:2129	REACTOME
PATHWAY:1460	R-HSA-9020558
PATHWAY:1461	R-HSA-199220
PATHWAY:1462	R-HSA-9033500
PATHWAY:1463	R-HSA-2173789
PATHWAY:1464	R-HSA-2454202
PATHWAY:1465	R-HSA-2730905
PATHWAY:1466	R-HSA-2029481
PATHWAY:1467	R-HSA-73843
PATHWAY:1468	R-HSA-373756
PATHWAY:1469	R-HSA-2466712
PATHWAY:147	R-HSA-2299718
PATHWAY:1470	R-HSA-420499
PATHWAY:1471	R-HSA-210745
PATHWAY:1472	R-HSA-71262
PATHWAY:1473	R-HSA-354194
PATHWAY:1474	R-HSA-1839122
PATHWAY:1475	R-HSA-1839130
PATHWAY:1476	R-HSA-190322
PATHWAY:1477	R-HSA-190370
PATHWAY:1478	R-HSA-190371
PATHWAY:1479	R-HSA-190372
PATHWAY:148	R-HSA-2514853
PATHWAY:1480	R-HSA-190373
PATHWAY:1481	R-HSA-190375
PATHWAY:1482	R-HSA-2033519
PATHWAY:1483	R-HSA-5654219
PATHWAY:1484	R-HSA-5654221
PATHWAY:1485	R-HSA-5654227
PATHWAY:1486	R-HSA-5654687
PATHWAY:1487	R-HSA-5654688
PATHWAY:1488	R-HSA-5654699
PATHWAY:1489	R-HSA-5654704
PATHWAY:149	R-HSA-112303
PATHWAY:1490	R-HSA-8851708
PATHWAY:1491	R-HSA-9761174
PATHWAY:1492	R-HSA-210747
PATHWAY:1493	R-HSA-1839120
PATHWAY:1494	R-HSA-190374
PATHWAY:1495	R-HSA-9758919
PATHWAY:1496	R-HSA-2033515
PATHWAY:1497	R-HSA-8853334
PATHWAY:1498	R-HSA-2023837
PATHWAY:1499	R-HSA-8853333
PATHWAY:15	R-HSA-1358803
PATHWAY:150	R-HSA-190861
PATHWAY:1500	R-HSA-1839128
PATHWAY:1501	R-HSA-194313
PATHWAY:1502	R-HSA-195399
PATHWAY:1503	R-HSA-2025928
PATHWAY:1504	R-HSA-2173791
PATHWAY:1505	R-HSA-3656535
PATHWAY:1506	R-HSA-5673000
PATHWAY:1507	R-HSA-9726840
PATHWAY:1508	R-HSA-9726842
PATHWAY:1509	R-HSA-8854521
PATHWAY:151	R-HSA-8941326
PATHWAY:1510	R-HSA-4755583
PATHWAY:1511	R-HSA-844455
PATHWAY:1512	R-HSA-5657560
PATHWAY:1513	R-HSA-111458
PATHWAY:1514	R-HSA-9627069
PATHWAY:1515	R-HSA-9013419
PATHWAY:1516	R-HSA-9013425
PATHWAY:1517	R-HSA-1483248
PATHWAY:1518	R-HSA-167242
PATHWAY:1519	R-HSA-6803529
PATHWAY:152	R-HSA-141444
PATHWAY:1520	R-HSA-5676934
PATHWAY:1521	R-HSA-381033
PATHWAY:1522	R-HSA-5659996
PATHWAY:1523	R-HSA-6791461
PATHWAY:1524	R-HSA-71336
PATHWAY:1525	R-HSA-9758920
PATHWAY:1526	R-HSA-9762293
PATHWAY:1527	R-HSA-5339717
PATHWAY:1528	R-HSA-2142700
PATHWAY:1529	R-HSA-139853
PATHWAY:153	R-HSA-2467813
PATHWAY:1530	R-HSA-418346
